cooperative_id,province,district,subdistrict,latitude,longitude,h3,k_any_road,k_non_track,km_any_road,km_non_track,road_band,track_only,m_to_any_road,m_to_made_road,km_to_made_road
85281,SULAWESI UTARA,KAB. BOLAANG MONGONDOW UTARA,Bintauna,0.68575941,123.5962175,623340512214056959,,,,,> ~5 km / none found,False,10942.956237696553,16502.016057641144,16.5
92444,PAPUA PEGUNUNGAN,KAB. YAHUKIMO,Hogio,-4.4141472,139.11386294,623511854942584831,,,,,> ~5 km / none found,False,14255.832100401158,16501.20445626406,16.5
92346,PAPUA TENGAH,KAB. PANIAI,Dumadama,-3.29962697,133.90235818,623511466777673727,,,,,> ~5 km / none found,False,14831.005381741019,16500.440747251876,16.5
93177,PAPUA PEGUNUNGAN,KAB. YAHUKIMO,Kwikma,-4.33290978,139.25299945,623511856556867583,,,,,> ~5 km / none found,False,16496.913947285313,16496.913947285313,16.5
25426,DKI JAKARTA,KAB. ADM. KEP. SERIBU,Kepulauan Seribu Utara,-5.50094099,106.550009,623960984016453631,,,,,> ~5 km / none found,False,16483.63123131809,16483.63123131809,16.48
88766,PAPUA TENGAH,KAB. PANIAI,Siriwo,-3.56879211,136.43732005,623511151961669631,,,,,> ~5 km / none found,False,16480.665674222844,16480.665674222844,16.48
21123,ACEH,KAB. ACEH TENGGARA,Lawe Alas,3.45445607,97.61743706,623274225667801087,,,,,> ~5 km / none found,False,15148.262867596683,16478.934392602874,16.48
85739,PAPUA BARAT,KAB. TELUK BINTUNI,Moskona Utara,-1.48873725,133.0372911,623513444401315839,,,,,> ~5 km / none found,False,16457.340909208608,16457.340909208608,16.46
88994,PAPUA BARAT,KAB. TELUK BINTUNI,Biscoop,-1.69441794,133.42802123,623513408934019071,,,,,> ~5 km / none found,False,16444.14802415206,16444.14802415206,16.44
27919,PAPUA TENGAH,KAB. MIMIKA,Tembagapura,-4.19814209,137.24964,623512043434737663,,,,,> ~5 km / none found,False,16423.159735790847,16423.159735790847,16.42
83919,KALIMANTAN UTARA,KAB. NUNUKAN,Lumbis Hulu,4.33022134,116.2529216,623327672438947839,28.0,,3.696,,> ~5 km / none found,True,3559.4152528712675,16400.771918305003,16.4
89095,PAPUA BARAT,KAB. TELUK BINTUNI,Kaitaro,-2.83299006,133.64768134,623511505145855999,,,,,> ~5 km / none found,False,9190.840358565201,16371.099064922068,16.37
91753,PAPUA BARAT,KAB. TELUK BINTUNI,Kamundan,-2.22612459,132.7469849,623514478883864575,,,,,> ~5 km / none found,False,16365.315024057027,16365.315024057027,16.37
