cooperative_id,province,district,km_non_track,m_to_made_road,error_m
51648,KALIMANTAN SELATAN,KAB. BANJAR,0.132,109.265645312615,22.734354687384993
88933,PAPUA SELATAN,KAB. BOVEN DIGOEL,3.432,3571.369527046059,-139.36952704605892
78803,JAWA TENGAH,KAB. BANYUMAS,0.132,93.28531538834528,38.71468461165472
79243,NUSA TENGGARA TIMUR,KAB. NGADA,0.132,117.19815839822256,14.80184160177744
15942,KALIMANTAN BARAT,KAB. KAPUAS HULU,4.752,4135.269206436014,616.7307935639856
90014,MALUKU UTARA,KOTA TERNATE,1.32,1222.5403178944102,97.45968210558976
20703,SULAWESI TENGAH,KAB. BANGGAI KEPULAUAN,0.0,62.661923276030514,-62.661923276030514
49650,ACEH,KAB. BIREUEN,0.132,58.22287650348725,73.77712349651276
79853,NUSA TENGGARA TIMUR,KAB. MANGGARAI TIMUR,0.132,196.45677195275917,-64.45677195275917
83477,JAMBI,KAB. MERANGIN,0.132,191.94298662870935,-59.94298662870935
73402,JAWA TENGAH,KAB. WONOSOBO,0.0,11.055908755224818,-11.055908755224818
2390,SULAWESI BARAT,KAB. MAMASA,2.904,2926.335612351649,-22.33561235164916
55242,JAWA TIMUR,KAB. NGAWI,0.0,24.663868234136267,-24.663868234136267
28505,KALIMANTAN SELATAN,KAB. BANJAR,0.0,7.069070040662924,-7.069070040662924
74441,JAWA TENGAH,KAB. PURWOREJO,0.0,42.351874334501865,-42.351874334501865
66931,KALIMANTAN BARAT,KAB. MEMPAWAH,0.0,6.006782961888284,-6.006782961888284
2958,SUMATERA SELATAN,KAB. OGAN ILIR,0.264,278.59697749940057,-14.596977499400566
25890,JAWA TENGAH,KAB. SRAGEN,0.0,8.69541721682082,-8.69541721682082
35591,SUMATERA UTARA,KAB. PADANG LAWAS,0.0,38.8980231506684,-38.8980231506684
51744,JAWA BARAT,KAB. CIREBON,0.0,8.86479174848723,-8.86479174848723
15713,ACEH,KAB. ACEH TENGAH,0.264,248.7649049398417,15.2350950601583
86146,KALIMANTAN TENGAH,KAB. BARITO SELATAN,1.848,1439.4502265145984,408.5497734854016
86889,NUSA TENGGARA TIMUR,KAB. LEMBATA,0.528,487.2073255395416,40.792674460458386
65511,SUMATERA UTARA,KAB. NIAS UTARA,0.132,26.403398550921008,105.59660144907899
47080,JAWA TENGAH,KAB. KENDAL,0.0,61.06132338438629,-61.06132338438629
51082,BALI,KAB. BANGLI,0.264,228.93601502568336,35.06398497431664
80986,SULAWESI SELATAN,KAB. LUWU,0.264,315.70901387765326,-51.70901387765326
75172,ACEH,KAB. ACEH BESAR,0.0,26.126884587382918,-26.126884587382918
23934,NUSA TENGGARA TIMUR,KOTA KUPANG,0.0,7.9751042528675855,-7.9751042528675855
30229,JAWA BARAT,KAB. BOGOR,0.0,9.668155813761187,-9.668155813761187
15156,JAWA BARAT,KAB. CIANJUR,0.0,22.701904263283915,-22.701904263283915
67761,KALIMANTAN TENGAH,KAB. BARITO TIMUR,0.0,12.549555168096404,-12.549555168096404
14444,LAMPUNG,KAB. LAMPUNG SELATAN,0.528,425.8643542916311,102.13564570836888
4671,JAWA TENGAH,KAB. REMBANG,1.452,1202.0099172426844,249.99008275731558
22512,SULAWESI TENGGARA,KAB. KOLAKA,1.188,1126.1369375286274,61.86306247137259
81636,ACEH,KAB. PIDIE,0.0,14.064886235472786,-14.064886235472786
85259,NUSA TENGGARA TIMUR,KAB. ALOR,0.396,483.54341886537594,-87.54341886537594
20859,SULAWESI SELATAN,KAB. LUWU,1.188,975.7848970383008,212.21510296169924
39696,JAWA TIMUR,KAB. BLITAR,0.0,17.639954199310722,-17.639954199310722
33275,JAWA TENGAH,KAB. KEBUMEN,0.132,43.25216397559944,88.74783602440056
51117,NUSA TENGGARA TIMUR,KAB. ROTE NDAO,0.264,210.77462008830668,53.225379911693324
3363,KEPULAUAN BANGKA BELITUNG,KAB. BANGKA SELATAN,1.32,1233.6381314235389,86.36186857646112
75268,JAMBI,KAB. SAROLANGUN,0.132,66.67641294496416,65.32358705503584
61152,JAWA BARAT,KOTA BEKASI,0.0,3.017511247594738,-3.017511247594738
67764,SULAWESI TENGAH,KAB. MOROWALI,0.132,77.22683280780623,54.77316719219377
35734,KEPULAUAN BANGKA BELITUNG,KAB. BANGKA BARAT,1.188,1237.8731436802168,-49.8731436802168
10155,SUMATERA SELATAN,KAB. OGAN ILIR,0.528,387.2174034228165,140.78259657718348
50389,JAWA TENGAH,KAB. TEMANGGUNG,0.0,31.215856264260214,-31.215856264260214
