cluster_id,size,province,n_districts,centroid_lat,centroid_lon,median_m_to_nearest_other,n_linked,sum_transaction_value,n_reporting
888d854f69fffff,3,JAWA TIMUR,1,-7.470118393333333,112.43488924,279.8038685233709,3,303166000.0,3
888d85ad2bfffff,3,JAWA TIMUR,1,-8.069101886666667,111.91142380000001,393.5146108377109,3,0.0,0
888d85c255fffff,3,JAWA TIMUR,1,-7.979658246666666,112.62662733333333,111.04363915613388,1,0.0,0
888d88065dfffff,3,JAWA TENGAH,1,-6.888977873333334,109.62107323333333,532.4326335549804,3,0.0,0
888d88d2b7fffff,3,JAWA TENGAH,1,-6.920238423333333,110.20194236666667,387.3550284948093,3,0.0,0
888d88d71dfffff,3,JAWA TENGAH,1,-6.947873633333333,110.14954703333335,520.4608390402627,3,0.0,0
888d8935a5fffff,3,JAWA BARAT,1,-7.122411146666667,108.22604799999999,30.17382797896738,3,0.0,0
888d896311fffff,3,JAWA BARAT,1,-6.725940583333333,108.56470813333333,393.42814964475724,1,0.0,0
8872b242d3fffff,3,MALUKU,1,-3.9646430266666663,131.4160318,263.3664116256202,0,0.0,0
8872b51085fffff,3,PAPUA PEGUNUNGAN,1,-1.4297153333333334,132.38945373333334,183.09244969451598,0,0.0,0
8872b5842dfffff,3,PAPUA PEGUNUNGAN,1,-1.1225282666666667,132.4297805,0.20045525129179895,0,0.0,0
8872b58863fffff,3,PAPUA PEGUNUNGAN,2,-1.2898865666666668,132.21181258666667,0.004446668153678732,1,0.0,0
8872b58b13fffff,3,PAPUA PEGUNUNGAN,2,-1.2729070733333334,132.19537821666668,197.08844591380443,0,0.0,0
887390d98bfffff,3,MALUKU UTARA,1,0.7775904166666666,127.38111564666667,386.371917824372,0,0.0,0
8872897ac5fffff,3,PAPUA PEGUNUNGAN,1,-3.8735734166666664,139.29750978666667,345.535885063248,0,0.0,0
88728b0de1fffff,3,PAPUA SELATAN,1,-4.762398706666667,138.97963910666667,156.34866125347108,0,0.0,0
88728b11cdfffff,3,PAPUA PEGUNUNGAN,1,-4.48735506,138.76834454333334,447.51964114630374,0,0.0,0
8865296f31fffff,3,SUMATERA UTARA,1,1.7338058233333333,98.78572763333334,331.05558928190084,3,0.0,0
886529cca3fffff,3,SUMATERA UTARA,1,1.3230347599999999,99.30064687333333,569.1771838570112,3,0.0,0
88652b0c91fffff,3,SUMATERA UTARA,1,2.4433420599999995,99.15573344333332,478.1429161920075,1,0.0,0
88728b86bdfffff,3,PAPUA PEGUNUNGAN,1,-4.111661223333333,138.9355596833333,538.7571813547693,0,0.0,0
8872ae2885fffff,3,PAPUA,2,-1.22881267,136.33855968999998,330.1236044104977,2,0.0,0
8872ae76e3fffff,3,PAPUA,2,-1.19800265,136.14176109333334,0.003335121859963178,1,0.0,0
8872b0233bfffff,3,PAPUA BARAT,2,-2.70402182,132.43118405333334,283.02477196512115,2,0.0,0
886528b5edfffff,3,SUMATERA UTARA,1,1.04505638,99.87716870000001,258.3734761334111,1,0.0,0
88652941ddfffff,3,SUMATERA UTARA,1,1.6040237466666667,99.27081011333333,347.326973810905,3,24800000.0,1
8865295449fffff,3,SUMATERA UTARA,1,1.3872126333333334,99.26938519666668,428.48100073079394,3,0.0,0
888d814d5bfffff,3,JAWA TENGAH,1,-6.7388532733333335,111.67264813333333,270.85275734759733,3,0.0,0
888d843191fffff,3,JAWA TIMUR,1,-7.64113945,112.90388413333334,345.06206507292205,3,0.0,0
888d84a031fffff,3,JAWA TIMUR,1,-7.91581383,112.98540948333334,189.11204021501015,3,0.0,0
8868c850e7fffff,3,SULAWESI UTARA,1,1.0571068433333333,124.65140007000001,247.45992892110573,3,0.0,0
8868c85139fffff,3,SULAWESI UTARA,1,1.0269382666666667,124.58440293333332,158.7978682847712,3,0.0,0
8868c8a83dfffff,3,SULAWESI UTARA,1,1.4528230166666667,125.1972731,295.56489488830147,3,0.0,0
8868c8a94dfffff,3,SULAWESI UTARA,1,1.4415343966666665,125.12828776666667,567.3957328432136,2,0.0,0
8868c8c42bfffff,3,SULAWESI UTARA,1,1.3737918,124.71443373333334,58.84612614851224,3,27217200.0,1
887288048dfffff,3,PAPUA PEGUNUNGAN,1,-3.66680774,138.35486448666666,503.14500758281173,2,0.0,0
88652baec7fffff,3,SUMATERA UTARA,1,2.0206694333333335,98.96419375,397.87533695917216,1,0.0,0
88728835a5fffff,3,PAPUA PEGUNUNGAN,1,-3.688976223333333,138.63785681333334,125.79035621861074,0,0.0,0
8872883ad3fffff,3,PAPUA PEGUNUNGAN,1,-3.716060883333333,138.46408863666667,228.96983465768687,0,0.0,0
8872886c29fffff,3,PAPUA PEGUNUNGAN,1,-4.235265373333333,138.38335986666667,263.1939874968885,0,0.0,0
8872886f35fffff,3,PAPUA PEGUNUNGAN,1,-4.234724336666667,138.34023999,587.4981552052963,0,0.0,0
8872887693fffff,3,PAPUA PEGUNUNGAN,1,-3.887813963333333,138.42081807333332,453.1116808840679,0,0.0,0
8872892893fffff,3,PAPUA PEGUNUNGAN,1,-3.732468173333333,139.76498115333334,440.0638035256443,0,0.0,0
8872897089fffff,3,PAPUA PEGUNUNGAN,1,-3.7796540566666668,139.39691261666667,323.7189017178364,0,0.0,0
88728972b7fffff,3,PAPUA PEGUNUNGAN,1,-3.75658241,139.39717035,518.1932685218092,0,0.0,0
8872897a85fffff,3,PAPUA PEGUNUNGAN,1,-3.890419436666667,139.31407317333333,318.62579219523747,0,0.0,0
888daa433bfffff,3,JAWA TIMUR,1,-7.866528793333334,111.4620598,570.726671076754,3,0.0,0
886574666dfffff,3,SUMATERA UTARA,1,1.2151891499999998,97.61999186666667,551.2178534311417,1,0.0,0
8868985223fffff,3,KALIMANTAN SELATAN,1,-2.41106822,115.5290139,272.0994368356854,1,0.0,0
886898cb65fffff,3,KALIMANTAN SELATAN,1,-2.3440198999999997,115.37031716666667,319.0180933673809,1,0.0,0
88689b500bfffff,3,KALIMANTAN SELATAN,1,-3.241224646666667,116.22450293333334,334.8503993522168,3,0.0,0
88689e3089fffff,3,KALIMANTAN SELATAN,1,-2.4133018733333333,115.21289927999999,414.950956396893,3,0.0,0
88689e3509fffff,3,KALIMANTAN SELATAN,1,-2.415860626666667,115.27133570000001,300.0076099217641,2,0.0,0
88689e3545fffff,3,KALIMANTAN SELATAN,1,-2.41545637,115.25290253333333,244.6162031825231,3,0.0,0
88689e39e5fffff,3,KALIMANTAN SELATAN,1,-2.6267674199999997,115.11188156666667,350.89323073899806,0,0.0,0
8868c3660dfffff,3,GORONTALO,1,0.59330543,123.07014963333332,440.3701680820674,3,0.0,0
88652cd091fffff,3,RIAU,1,0.5366978433333333,101.4430317,417.34815417549595,3,0.0,0
88652cd099fffff,3,RIAU,1,0.5278011666666667,101.4490364,534.8961987911907,3,0.0,0
88652cd725fffff,3,RIAU,1,0.5220886166666666,101.4419135,324.03753909148946,3,0.0,0
8868c81255fffff,3,SULAWESI UTARA,1,1.4891641233333335,124.8548154,304.68577120819504,3,0.0,0
8868c81263fffff,3,SULAWESI UTARA,1,1.4686579833333333,124.83862263333333,371.9081219842634,3,0.0,0
8868c84a8dfffff,3,SULAWESI UTARA,1,0.8539995666666668,124.69008853333334,147.49155125465953,3,0.0,0
886550984dfffff,3,ACEH,1,4.13804365,96.12779906666667,325.9391883427316,1,0.0,0
888d89c9c7fffff,3,JAWA TENGAH,1,-6.901383563333333,109.13226726666666,306.59416971844325,3,0.0,0
888d8c6b25fffff,3,JAWA TENGAH,1,-6.973550713333334,110.42638256666667,459.9687312342513,3,109890000.0,1
888d8c8f35fffff,3,JAWA TENGAH,1,-7.720799013333334,110.57286233666667,383.7122045513051,3,0.0,0
888d8cc29dfffff,3,JAWA TENGAH,1,-7.5657536033333335,110.82010559999999,422.8401471410815,0,0.0,0
888d8cc2d5fffff,3,JAWA TENGAH,1,-7.571623743333333,110.8342627,367.56799167689684,2,33085200.0,2
888d8cc2dbfffff,3,JAWA TENGAH,1,-7.5854597733333335,110.82428156666667,586.72903250373,2,8485200.0,1
